bookid,title,authors,average_rating,isbn,isbn13,language_code,num_pages,ratings_count,text_reviews_count,publication_date,publisher,publication_date_valid,primary_author,publication_year,publication_month,rating_bucket,review_to_rating_ratio
1,Harry Potter and the Half-Blood Prince (Harry Potter  #6),J.K. Rowling/Mary GrandPré,4.57,0439785960,9780439785969,eng,652.0,2095690,27591.0,2006-09-16,Scholastic Inc.,True,J.K. Rowling,2006.0,9.0,4.5-5,0.013165592239310204
2,Harry Potter and the Order of the Phoenix (Harry Potter  #5),J.K. Rowling/Mary GrandPré,4.49,0439358078,9780439358071,eng,870.0,2153167,29221.0,2004-09-01,Scholastic Inc.,True,J.K. Rowling,2004.0,9.0,4-4.5,0.013571172138528967
4,Harry Potter and the Chamber of Secrets (Harry Potter  #2),J.K. Rowling,4.42,0439554896,9780439554893,eng,352.0,6333,244.0,2003-11-01,Scholastic,True,J.K. Rowling,2003.0,11.0,4-4.5,0.038528343597031424
5,Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),J.K. Rowling/Mary GrandPré,4.56,043965548X,9780439655484,eng,435.0,2339585,36325.0,2004-05-01,Scholastic Inc.,True,J.K. Rowling,2004.0,5.0,4.5-5,0.015526257861971248
8,Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5),J.K. Rowling/Mary GrandPré,4.78,0439682584,9780439682589,eng,2690.0,41428,164.0,2004-09-13,Scholastic,True,J.K. Rowling,2004.0,9.0,4.5-5,0.003958675292072994
9,"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation",W. Frederick Zimmerman,3.74,0976540606,9780976540601,eng,152.0,19,1.0,2005-04-26,Nimble Books,True,W. Frederick Zimmerman,2005.0,4.0,3-4,0.05263157894736842
10,Harry Potter Collection (Harry Potter  #1-6),J.K. Rowling,4.73,0439827604,9780439827607,eng,3342.0,28242,808.0,2005-09-12,Scholastic,True,J.K. Rowling,2005.0,9.0,4.5-5,0.028609871822108914
12,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,0517226952,9780517226957,eng,815.0,3628,254.0,2005-11-01,Gramercy Books,True,Douglas Adams,2005.0,11.0,4-4.5,0.07001102535832414
13,The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,0345453743,9780345453747,eng,815.0,249558,4080.0,2002-04-30,Del Rey Books,True,Douglas Adams,2002.0,4.0,4-4.5,0.016348904863799196
14,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams,4.22,1400052920,9781400052929,eng,215.0,4930,460.0,2004-08-03,Crown,True,Douglas Adams,2004.0,8.0,4-4.5,0.09330628803245436
16,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams/Stephen Fry,4.22,0739322206,9780739322208,eng,6.0,1266,253.0,2005-03-23,Random House Audio,True,Douglas Adams,2005.0,3.0,4-4.5,0.19984202211690363
18,The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,0517149257,9780517149256,eng,815.0,2877,195.0,1996-01-17,Wings Books,True,Douglas Adams,1996.0,1.0,4-4.5,0.06777893639207508
21,A Short History of Nearly Everything,Bill Bryson,4.21,076790818X,9780767908184,eng,544.0,248558,9396.0,2004-09-14,Broadway Books,True,Bill Bryson,2004.0,9.0,4-4.5,0.037802042179290146
22,Bill Bryson's African Diary,Bill Bryson,3.44,0767915062,9780767915069,eng,55.0,7270,499.0,2002-12-03,Broadway Books,True,Bill Bryson,2002.0,12.0,3-4,0.06863823933975241
23,Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,Bill Bryson,3.87,0767910435,9780767910439,eng,256.0,2088,131.0,2004-09-14,Broadway Books,True,Bill Bryson,2004.0,9.0,3-4,0.06273946360153257
24,In a Sunburned Country,Bill Bryson,4.07,0767903862,9780767903868,eng,335.0,72451,4245.0,2001-05-15,Broadway Books,True,Bill Bryson,2001.0,5.0,4-4.5,0.058591323791252016
25,I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,Bill Bryson,3.9,076790382X,9780767903820,eng,304.0,49240,2211.0,2000-06-28,Broadway Books,True,Bill Bryson,2000.0,6.0,3-4,0.044902518277822906
26,The Lost Continent: Travels in Small Town America,Bill Bryson,3.83,0060920084,9780060920081,eng,299.0,45712,2257.0,1990-08-28,William Morrow Paperbacks,True,Bill Bryson,1990.0,8.0,3-4,0.04937434371718586
27,Neither Here nor There: Travels in Europe,Bill Bryson,3.86,0380713802,9780380713806,eng,254.0,48701,2238.0,1993-03-28,William Morrow Paperbacks,True,Bill Bryson,1993.0,3.0,3-4,0.04595388185047535
28,Notes from a Small Island,Bill Bryson,3.91,0380727501,9780380727506,eng,324.0,80609,3301.0,1997-05-28,William Morrow Paperbacks,True,Bill Bryson,1997.0,5.0,3-4,0.0409507623218251
29,The Mother Tongue: English and How It Got That Way,Bill Bryson,3.93,0380715430,9780380715435,eng,270.0,28489,2085.0,1991-09-28,William Morrow Paperbacks,True,Bill Bryson,1991.0,9.0,3-4,0.07318614201972691
30,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,4.59,0345538374,9780345538376,eng,1728.0,101233,1550.0,2012-09-25,Ballantine Books,True,J.R.R. Tolkien,2012.0,9.0,4.5-5,0.015311212746831566
31,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien,4.5,0618517650,9780618517657,eng,1184.0,1710,91.0,2004-10-21,Houghton Mifflin Harcourt,True,J.R.R. Tolkien,2004.0,10.0,4-4.5,0.05321637426900585
34,The Fellowship of the Ring (The Lord of the Rings  #1),J.R.R. Tolkien,4.36,0618346252,9780618346257,eng,398.0,2128944,13670.0,2003-09-05,Houghton Mifflin Harcourt,True,J.R.R. Tolkien,2003.0,9.0,4-4.5,0.006421023756378749
35,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien/Alan  Lee,4.5,0618260587,9780618260584,eng,1216.0,1618,140.0,2002-10-01,Houghton Mifflin Harcourt,True,J.R.R. Tolkien,2002.0,10.0,4-4.5,0.0865265760197775
36,The Lord of the Rings: Weapons and Warfare,Chris   Smith/Christopher  Lee/Richard Taylor,4.53,0618391002,9780618391004,eng,218.0,19822,46.0,2003-11-05,Houghton Mifflin Harcourt,True,Chris   Smith,2003.0,11.0,4.5-5,0.0023206538189890023
37,The Lord of the Rings: Complete Visual Companion,Jude Fisher,4.5,0618510826,9780618510825,eng,224.0,359,6.0,2004-11-15,Houghton Mifflin Harcourt,True,Jude Fisher,2004.0,11.0,4-4.5,0.016713091922005572
45,Agile Web Development with Rails: A Pragmatic Guide,Dave Thomas/David Heinemeier Hansson/Leon Breedt/Mike Clark/Thomas  Fuchs/Andreas  Schwarz,3.84,097669400X,9780976694007,eng,558.0,1430,59.0,2005-07-28,Pragmatic Bookshelf,True,Dave Thomas,2005.0,7.0,3-4,0.04125874125874126
